title	publish_year	description
精益－敏捷项目管理	2012	精益·敏捷项目管理：实现企业级敏捷，ISBN：9787121152795，作者：（美）沙洛维，（美）比弗，（美）特罗特 著，王雪露 译
构筑敏捷的开发团队	2010	《构筑敏捷的开发团队:微软Visual Studio 2010实战兵法》介绍了敏捷开发团队依托Visual Studio 2010、采用Scrum／XP等敏捷过程模型方法从各个方面组织开发其项目的过程...
敏捷思维	2015	"在移动互联网和大数据的时代浪潮中，各行各业都面临着生存难题和思维挑战。
本书基于IBM敏捷转型成功实践，介绍IT企业产品和项目的全生命周期中管理、研发、测试的敏捷..."
敏捷持续集成	2008	《开源技术专家·敏捷持续集成(CruiseControl版):高效研发之道》主要内容：在并重“理论与实践”思想的指引下，作者踏上了持续集成及CruiseControl的写作行程。全书共分...
敏捷迭代开发管理者指南	2006	敏捷迭代开发管理者指南（英文版），ISBN：9787111184836，作者：（美）拉曼 著，
敏捷项目管理	2010	敏捷开发方法流行于那些发现传统瀑布法无法适应这个由改变、革新而驱动的世界的要求的企业。既然敏捷开发过程带来更好的结果，那么也能将这个方法应用于整个IT投资组合...
敏捷软件开发实践 估算与计划	2016	《敏捷软件开发实践 估算与计划》中讲述的方法采用，你将获得敏捷估算工具，帮助你从始至终保持敏捷、节省时间、充分利用资源并且完成更多工作。
敏捷软件开发	2007	"本书是国际知名软件开发专家Alistair Cockburn通过采访项目开发组和总结自己20多年的开发和管理经验，撰写的一本介绍软件开发新思想——敏捷软件开发方法学的著作。
　..."
21世纪企业竞争前沿--大规模定制模式下的敏捷产品开发	2000	产品的大规模定制本书将向企业介绍
软件工程的敏捷管理	2004	
敏捷软件开发生态系统	2004	本书全面论述了敏捷软件开发生态系统的有关内容，阐述了变化驱动的信息时代经济的关键特征，介绍各个敏捷软件开发生态系统，提供各种类型的项目，展示了一个敏捷软件开...
敏捷性思维	2015	"一本能够帮你在这个从众的世界中打破平衡，带领团队颠覆传统企业管理模式的书。
在本书中，作者向我们展示了如何以适应性领导技巧提升整个企业的敏捷度，增强企业的适应..."
敏捷与秩序	2006	在本书中，Rational统一过程(Rational Unified process，RUP)和开放的统一过程(OperUP)的专家Per Kroll与Brucee Macisaac共同使用了20个定义明确的最佳实践，你和你的团...
敏捷软件开发（英文版）	2003	"本书是国际知名软件开发专家Alistair Cockburn通过采访项目开发组和总结自己二十多年的开发和管理经验，撰写的一本介绍软件开发新思想——Agile软件开发方法学的专著。
..."
洞悉敏捷	2015	《洞悉敏捷》客观全面地介绍了全球正在使用的各种敏捷方法的价值、原则、架构、过程和适用场景，包括敏捷方法和瀑布式方法的对比；Scrum、Kanban、XP、Crystal、FDD、Le...
大规模敏捷开发实践	2013	格鲁弗、杨、富尔格姆所著的《大规模敏捷开发实践(HP LaserJet产品线敏捷转型的成功经验)》是大规模敏捷软件开发领域的经典著作，是世界一流IT企业成功实施大规模敏捷的...
