184	敏捷开发方法在选冶仪表软件开发中的应用	赵宇	铜业工程	2016-08-15	期刊		11
185	浅析敏捷软件开发方法与工程实践	严智	信息化研究	2013-04-20	期刊	1	153
186	基于Scrum敏捷方法的软件工程实践教学探索	林晓宇	电脑知识与技术	2011-07-05	期刊	6	104
187	敏捷软件开发的认识偏误与推广瓶颈浅析	匡松	计算机科学	2007-12-25	期刊	4	204
188	一种信息系统成本的敏捷功能点估算方法	袁铭	天津财经大学	2007-05-01	硕士	3	160
189	CH公司位置服务软件项目管理研究	熊司正	华中科技大学	2011-10-01	硕士	0	46
190	基于多任务优先算法的异地敏捷软件开发任务分派	殷茗	计算机系统应用	2015-01-15	期刊		37
191	论软件外包技术的开发	刘家侨	长春工业大学学报(自然科学版)	2008-06-15	期刊	1	77
192	基于敏捷软件开发模型的研究与实践	齐山松	电子科技	2013-07-15	期刊	2	86
193	Scrum敏捷软件开发方法实践中的改进和应用	陈国栋	计算机技术与发展	2011-12-10	期刊	11	237
194	电信电子运营和维护客户端系统的敏捷开发	崔大战	辽宁科技大学	2014-05-05	硕士	0	2
195	Symbian环境中的国际区号应用软件的设计与开发	孙颖	北京工业大学	2012-12-01	硕士	0	7
196	一种基于迭代历史数据的敏捷估算和计划方法	杨文镕	南京大学	2012-05-01	硕士	0	61
197	NL软件测试用例库管理系统的设计与实现	邵麟	东北大学	2008-12-01	硕士	3	72
198	利用Scrum方法进行软件开发过程管理	闫硕	天津大学	2012-06-30	硕士	0	156
199	基于Petri网的软件过程建模技术的研究	陈挺	南京航空航天大学	2008-12-01	硕士	0	67
200	敏捷开发和软件架构概述比较	李声威	计算机光盘软件与应用	2015-01-01	期刊		23
201	基于敏捷思想管理软件过程	王丽蕊	硅谷	2011-06-23	期刊	2	72
202	敏捷管理在互联网订票系统开发中的应用研究	淡成	北京工业大学	2012-06-01	硕士	0	142
203	基于敏捷开发的构件化软件可靠性研究	王世安	微电子学与计算机	2011-03-05	期刊	3	225
204	基于敏捷的电子政务软件项目管理研究	张曙晟	项目管理技术	2011-12-10	期刊	1	88
205	敏捷时代助力软件企业创业	刘彤	电脑编程技巧与维护	2010-12-18	期刊	0	29
206	敏捷方法与传统软件工程方法在通用型网络考试系统开发中的应用比较	吴洁明	梧州学院学报	2010-12-25	期刊	0	67
207	基于敏捷方法和RUP的软件过程改进	张敏	合肥工业大学学报(自然科学版)	2007-04-28	期刊	14	300
208	敏捷型方法在软件工程中的运用	林云	电脑知识与技术(学术交流)	2007-12-08	期刊	0	85
209	基于敏捷开发的游戏项目集成管理系统的迭代开发	任波	上海交通大学	2006-10-01	硕士	2	444
210	基于敏捷开发模式的软件架构设计	于丽	电脑知识与技术	2015-12-22 14:54	期刊		41
211	面向智能物流的敏捷需求分析方法的应用研究	李淑华	武汉理工大学	2014-04-01	硕士	0	46
212	基于Rally平台的敏捷项目进度追踪系统的设计与实现	曹质朴	北京交通大学	2012-06-01	硕士	1	45
