30	面向信息安全专业的软件工程实践教学探究	程凡	电脑知识与技术	2015-12-21 13:54	期刊		20	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DNZS201531024&DbName=CJFDLAST2016&DbCode=CJFQ
31	面向软件工程数据挖掘的开发测试技术探讨	文娟	无线互联科技	2015-11-25	期刊		15	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WXHK201522021&DbName=CJFDLAST2016&DbCode=CJFQ
32	平行实验在《软件工程》教学中的运用	王妍	软件	2015-12-15	期刊		17	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=RJZZ201512009&DbName=CJFDLAST2016&DbCode=CJFQ
33	电子技术与软件工程		电子技术与软件工程	2016-01-01	期刊		23	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201601203&DbName=CJFDLAST2016&DbCode=CJFQ
34	软件工程专业面向对象程序设计教学改革研究	吴晓琴	科技视界	2016-02-05	期刊		31	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJSJ201604064&DbName=CJFDLAST2016&DbCode=CJFQ
35	软件工程专业程序设计课程群建设研究与实践	徐洪智	东莞理工学院学报	2016-02-15	期刊	1	67	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DGLG201601025&DbName=CJFDLAST2016&DbCode=CJFQ
36	项目驱动的《软件工程》教学改革与实践研究	张美娜	教育现代化	2015-11-23	期刊		31	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JYXD201515024&DbName=CJFDLAST2016&DbCode=CJFQ
37	软件工程的若干热点技术发展现状与展望	翁垚	电子测试	2015-12-15	期刊	1	41	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WDZC201524018&DbName=CJFDLAST2016&DbCode=CJFQ
38	电子技术与软件工程		电子技术与软件工程	2015-12-15	期刊		11	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201524228&DbName=CJFDLAST2016&DbCode=CJFQ
39	基于Android移动学习APP在《软件工程》教学中的应用研究	杨波	农业网络信息	2016-03-26	期刊		90	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSJN201603031&DbName=CJFDLAST2016&DbCode=CJFQ
40	应用型本科高校教师MOOC教学现状分析——以《软件工程》课程为例	余久久	职业技术教育	2015-12-10	期刊	1	178	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=ZYJW201535028&DbName=CJFDLAST2016&DbCode=CJFQ
41	专业导师制在软件工程应用型人才培养过程中的实践	梁宏涛	软件工程	2016-03-05	期刊		16	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=ZGGC201603021&DbName=CJFDLAST2016&DbCode=CJFQ
