Gdel语言对现代软件工程方法的支持	计算机时代	2006	2006年11期	【作者】 李松斌 ； 赵致琢 ； 李慧琪 ； 【机构】 厦门大学计算机科学系 ； 厦门大学计算机科学系 福建厦门361000 ； 福建厦门361000 ；	G-del语言 ； 软件开发方法 ； 模块系统 ； 类型系统 ； 延迟计算 ；	文章以一种新型的逻辑程序设计语言——G+del语言为例,对逻辑程序设计语言与现代软件工程主要思想和方法的结合情况进行了初步探讨。G,del语言通过引入模块系统、类型系统和延迟计算机制等不同于以往逻辑程序的新机制,能够支持现代软件设计的一些主流方法。模块系统提供了组织大规模程序的方法,并通过结合类型系统实现了对抽象数据类型程序设计的支持,从而能够支持面向对象程序设计;延迟计算则使利用该语言所编制的软件在可重用性方面获得提升。	2006年11期_Gdel语言对现代软件工程方法的支持.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200611001&dbname=CJFD0608
“2+2”模式下软件工程专业人才培养方案的思考	计算机时代	2006	2006年06期	【作者】 许晔 ； 田晓 ； 余日泰 ； 【机构】 杭州电子科技大学计算机学院 ； 杭州电子科技大学计算机学院 浙江杭州310018 ； 浙江杭州310018 ；	“2+2”模式 ； 人才培养模式 ； 软件人才 ； 培养方案 ；	“2+2”模式是浙江省在省属高校中推出的一种新的人才培养模式。文章结合杭州电子科技大学在“2+2”模式下基于学分制的培养方案的实施情况,指出要培养有竞争实力的软件人才,必须着重主流语言的应用能力、团队精神与合作意识、勇于实践创新等三方面素质的培养;提出在人才培养框架上要突出自主学习、重实践、个性化等要素,从而构建宽、专、交的人才培养模式;最后根据首届毕业生的总体情况,分析、总结并探讨了具体教学计划实施过程中的关键问题及需配套进行的一系列教学改革。	2006年06期_“2+2”模式下软件工程专业人才培养方案的思考.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200606028&dbname=CJFD0608
新技术与软件体系结构	计算机时代	2006	2006年05期	【作者】 刘真 ； 任长明 ； 王国艳 ； 【机构】 天津大学电子信息工程学院 ； 北京市建筑材料工业学校 天津300072 ； 天津300072 ；	软件体系结构 ； 基于体系结构的软件开发 ； 复用 ； 构建 ； 面向对象 ； 组件技术 ；	软件体系结构是软件工程学科中一个重要的研究领域,它是大型软件系统与软件产品线开发中的关键技术之一。文章从多个方面阐述了软件体系结构的定义、特点、应用以及与目前新技术的结合情况。	2006年05期_新技术与软件体系结构.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200605003&dbname=CJFD0608
Topic Maps与学科知识管理	计算机时代	2006	2006年03期	【作者】 刘洪星 ； 王石林 ； 【机构】 武汉理工大学计算机科学与技术学院 ； 武汉理工大学计算机科学与技术学院 湖北武汉430063 华中科技大学计算机科学与技术学院 ； 湖北武汉430063 ；	TopicMaps ； XTM ； Omnigator ； 学科体系结构 ； 学科知识库 ； 主题地图设计 ；	提出了用主题地图(TopicMaps)来管理学科知识的思想,分析了利用主题地图来建立学科知识结构的优越性。以软件工程专业的几个知识单元为实例,说明了用主题地图导航软件工程知识库的具体方法。用主题地图处理器Omnigator实现了软件工程学科知识的在线索引字典。	2006年03期_Topic+Maps与学科知识管理.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200603011&dbname=CJFD0608
改进的会话外观模式在J2EE中的应用与研究	计算机时代	2006	2006年03期	【作者】 庄亚俊 ； 聂哲 ； 【机构】 深圳职业技术学院软件工程系 ； 深圳职业技术学院软件工程系 广东深圳518055 ； 广东深圳518055 ；	设计模式 ； 性能优化 ； Session Facade模式 ； MVC ；	结合J2EE的Delegate、ServiceLocator和ValueObject模式的各自优点来改进经典会话外观模式的不足,设计出一种新的会话外观模式。通过J2EE在线考试系统的设计与实现,发现本架构具有良好的扩展性和复用性,能更好地应用于分布式系统。	2006年03期_改进的会话外观模式在J2EE中的应用与研究.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200603022&dbname=CJFD0608
一种基于CMM的ERP信息平台实施框架	计算机时代	2007	2007年10期	【作者】 孙琦龙 ； 熊忠阳 ； 【机构】 青海民族学院计算机科学与技术系 ； 重庆大学计算机学院 青海西宁810007 ；	CMM ； KPA ； 软件过程 ； 框架 ；	针对我国中小软件企业目前的发展状况及特点,以提高软件质量、降低成本、加强产品开发的可延续性、增加客户满意度为目标,在深入研究和探讨软件成熟度模型(CMM)的基础上结合成功案例,论述了一个基于CMM的ERP信息平台实施框架。框架对KPA做了适当的裁减,定义了7个关键过程域并设置了4个工作组,以加强软件过程的可控性和透明度并进行效率分析。最后指出,在CMM实践中应该注重创新。	2007年10期_一种基于CMM的ERP信息平台实施框架.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200710005&dbname=CJFD0608
基于软件生命周期模型的网络课件的开发方法与实现过程	计算机时代	2007	2007年09期	【作者】 林素仙 ； 谭文安 ； 【机构】 浙江师范大学计算机软件工程研究所 ； 浙江师范大学计算机软件工程研究所 浙江金华321004 ； 浙江金华321004 ；	网络课程 ； 软件工程 ； 需求分析 ； 构件技术 ； 复用 ；	传统网络课件的设计,是由专业教师和技术人员合作来完成的,这种课件往往称为一次性的不可再生资源。随着计算机构件技术的成熟和市场节奏的加快,这种作坊式的开发方法已经过时。文章以"软件工程"网络课程为例,基于软件生命周期模型讨论网络课件的开发过程,在开发阶段引入基于构件的软件开发方法,实现了网络课件的可重构性。	2007年09期_基于软件生命周期模型的网络课件的开发方法与实现过程.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200709013&dbname=CJFD0608
基于CMMI的软件度量研究	计算机时代	2007	2007年05期	【作者】 陈天伟 ； 【机构】 中国电子科技集团第三十研究所成都三零盛安信息系统有限公司 四川成都610041 ； 电子科技大学计算机科学与工程学院 ；	CMMI ； 软件度量 ； 软件过程能力 ； 度量项 ； 门限值 ；	CMMI为软件产品及软件过程提供了一套定量的表示和分析,即软件度量的模型。有效的软件度量过程能促进组织的软件过程能力的改进。文章结合国内应用特点,介绍了基于CMMI的多层架构软件产品的度量模型,并着重讨论了基于CMMI的软件过程度量,总结了软件过程度量的工作方法和思路,提出了解决国内软件度量的一般性方法,为软件过程改进提供了可行的方法和实践。	2007年05期_基于CMMI的软件度量研究.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200705001&dbname=CJFD0608
一种基于移动Agent的软件构件动态适配方法	计算机时代	2007	2007年04期	【作者】 赵文明 ； 【机构】 杭州职业技术学院信息电子系 浙江杭州310018 ；	移动Agent ； 软件构件 ； 动态适配 ； 构件组装 ；	软件构件动态适配技术已成为研究的一个重点。文章简述了软件构件动态适配的主要特点,通过对几种软件构件动态适配技术的分析,指出了现有软件构件动态适配方法的不足,并提出了一种新的基于移动Agent的软件构件动态适配方法。该方法从多Agent系统和面向Agent的软件工程的角度进行软件构件动态适配,使适配后的目标系统具有良好的可重用性。	2007年04期_一种基于移动Agent的软件构件动态适配方法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200704027&dbname=CJFD0608
基于DDoS攻击的研究	计算机时代	2007	2007年03期	【作者】 崔永君 ； 张永花 ； 【机构】 兰州交通大学数理与软件工程学院 ； 兰州交通大学数理与软件工程学院 甘肃兰州730070 ； 甘肃兰州730070 ；	DDoS ； TCP/IP ； TCP连接洪水 ； TCP SYN洪水 ； Smurf攻击 ；	分布式拒绝服务(DDoS)攻击是目前黑客经常采用而难以防范的攻击手段。文章从DDoS的概念、攻击原理、攻击过程、攻击方法四个方面对DDoS加以说明。最后,介绍了一个局域网内的攻击实例。	2007年03期_基于DDoS攻击的研究.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200703011&dbname=CJFD0608
